,timestamp,open,close,high,low,volume,amount
2018-03-10,1520640000,724.544307,679.051176,748.55572,670.411972,1483.822083,1063501.9973550597
2018-03-11,1520726400,675.0,721.920575,735.99,661.67545,1024.587464,717647.76066619
2018-03-12,1520812800,718.000004,702.269552,741.3773,676.473074,861.22382376,608666.9137538001
2018-03-13,1520899200,697.58094,694.53,720.0,680.000001,710.4799594,493032.23353126994
2018-03-14,1520985600,692.000567,608.998978,705.327,582.970001,1871.8455271,1183538.59951923
2018-03-15,1521072000,606.00232,608.65525,624.33,570.194608,1574.5247963,941225.5289602501
2018-03-16,1521158400,611.290491,600.11283,629.999999,583.0,1129.2422919,688316.671053
2018-03-17,1521244800,597.71717,549.04471,609.150557,540.478092,1007.9672883999999,581203.21510824
2018-03-18,1521331200,548.56567,535.68648,565.0,452.000001,4871.2059963,2462892.9492424503
2018-03-19,1521417600,535.71642,560.0,560.798626,516.600007,2337.7997118,1265262.6400439302
2018-03-20,1521504000,553.4659,555.0,567.0,512.67759,1710.2607875,927154.3631952
2018-03-21,1521590400,552.456609,563.400147,594.997336,542.0,2153.1501341,1223401.0630491101
2018-03-22,1521676800,558.795537,542.78133,578.03,511.920776,2060.2142575999997,1116449.9441474802
2018-03-23,1521763200,538.116611,543.65013,543.65013,509.0,2627.2255846,1372883.75471832
2018-03-24,1521849600,542.99883,521.62599,547.0,521.62599,912.7250151000001,489483.13267888
2018-03-25,1521936000,521.62599,522.580393,536.463,512.9,1582.0894378,823866.28649671
2018-03-26,1522022400,521.455,486.17541,527.800654,465.0,5584.9301014,2785340.89388447
2018-03-27,1522108800,485.26253,448.74069,491.996488,446.5,1991.7373302,922753.3796715299
2018-03-28,1522195200,448.74069,448.085294,467.23794,440.127,1527.2769414,690099.13904816
2018-03-29,1522281600,444.66389,382.821462,448.997651,378.493569,4589.0982632,1860555.6144257397
2018-03-30,1522368000,383.36673,393.0,412.5,365.000172,5260.5285171,2019780.07939937
2018-03-31,1522454400,392.29883,393.790305,417.879749,387.000001,2730.5614952,1091992.42813315
2018-04-01,1522540800,395.20301,378.37524,400.01794,357.000196,3698.7486495,1391084.0572409602
2018-04-02,1522627200,373.07496,386.602436,396.0,373.07496,2120.0308446,817303.56402006
2018-04-03,1522713600,386.43799,415.5,420.0,381.345,2958.4283062000004,1183006.12611864
2018-04-04,1522800000,415.471,378.75099,415.70475,370.0,2252.1093617,871901.69575023
2018-04-05,1522886400,378.22,383.039258,387.32,365.000093,1273.6173988,480366.58811437
2018-04-06,1522972800,381.33601,368.5,384.5,362.95,975.8401552,361078.76279837
2018-04-07,1523059200,369.0,384.108,394.0,366.12201,1260.3192724,483801.69671318994
2018-04-08,1523145600,381.26,400.154,404.12162,381.26,750.8198158,297052.22897090996
2018-04-09,1523232000,402.337,398.43,431.58645,385.0,2150.3693851,869666.2112719
2018-04-10,1523318400,398.43,415.19999,417.455824,391.804175,1158.7017575,467417.36232970003
2018-04-11,1523404800,412.202012,435.448143,437.169162,411.00001,1094.2194095,459560.45675271994
2018-04-12,1523491200,429.02523,494.74478,499.294722,412.0,2626.628364,1196327.0203438802
2018-04-13,1523577600,494.98299,492.867617,530.0,478.481524,2911.8271109,1469170.09806492
2018-04-14,1523664000,491.639134,501.52993,515.0288,482.383487,1235.0125761,616262.36362959
2018-04-15,1523750400,502.927528,532.360762,533.999999,502.927528,1560.9057005999998,813930.0925978499
2018-04-16,1523836800,532.76475,513.179749,538.46978,495.9,1871.5896237,956132.5897649799
2018-04-17,1523923200,513.179749,501.717562,524.537761,501.00001,1051.5007301,538454.3131492999
2018-04-18,1524009600,502.7034,525.17754,529.21,502.588337,918.2044906,473510.06938112003
2018-04-19,1524096000,525.034125,568.131112,570.0,520.002559,1505.8996379,821477.77778912
2018-04-20,1524182400,568.131112,618.27909,622.146456,555.672337,1740.1631189,1020831.5173928599
2018-04-21,1524268800,618.0837,604.475025,625.338977,568.0,2643.9533146,1584758.8637112402
